OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,4,29, 571508)), ('pm1_cf', 37), ('pm25_cf', 69), ('pm10_cf', 79), ('pm1', 29), ('pm25', 49), ('pm10', 64)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,5,30, 840758)), ('pm1_cf', 33), ('pm25_cf', 63), ('pm10_cf', 77), ('pm1', 27), ('pm25', 47), ('pm10', 63)])
,,,,,,,,,,,,,,,,,,,
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,7,32, 636345)), ('pm1_cf', 32), ('pm25_cf', 61), ('pm10_cf', 66), ('pm1', 26), ('pm25', 45), ('pm10', 57)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,8,33, 965875)), ('pm1_cf', 31), ('pm25_cf', 64), ('pm10_cf', 71), ('pm1', 26), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,9,35, 74052)), ('pm1_cf', 34), ('pm25_cf', 68), ('pm10_cf', 78), ('pm1', 27), ('pm25', 49), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,10,36, 327850)), ('pm1_cf', 33), ('pm25_cf', 66), ('pm10_cf', 76), ('pm1', 27), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,11,37, 241804)), ('pm1_cf', 32), ('pm25_cf', 64), ('pm10_cf', 68), ('pm1', 26), ('pm25', 47), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,12,38, 421434)), ('pm1_cf', 32), ('pm25_cf', 66), ('pm10_cf', 74), ('pm1', 27), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,13,39, 601282)), ('pm1_cf', 34), ('pm25_cf', 63), ('pm10_cf', 77), ('pm1', 27), ('pm25', 46), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,14,40, 348104)), ('pm1_cf', 35), ('pm25_cf', 64), ('pm10_cf', 70), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,15,41, 664462)), ('pm1_cf', 32), ('pm25_cf', 59), ('pm10_cf', 69), ('pm1', 26), ('pm25', 45), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,16,42, 270029)), ('pm1_cf', 30), ('pm25_cf', 63), ('pm10_cf', 72), ('pm1', 25), ('pm25', 46), ('pm10', 60)])
,,,,,,,,,,,,,,,,,,,
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,18,44, 124764)), ('pm1_cf', 32), ('pm25_cf', 58), ('pm10_cf', 67), ('pm1', 27), ('pm25', 45), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,19,45, 16100)), ('pm1_cf', 33), ('pm25_cf', 66), ('pm10_cf', 69), ('pm1', 27), ('pm25', 48), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,20,45, 764258)), ('pm1_cf', 33), ('pm25_cf', 66), ('pm10_cf', 75), ('pm1', 27), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,21,46, 996948)), ('pm1_cf', 34), ('pm25_cf', 66), ('pm10_cf', 75), ('pm1', 28), ('pm25', 48), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,22,48, 48318)), ('pm1_cf', 31), ('pm25_cf', 62), ('pm10_cf', 70), ('pm1', 26), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,23,49, 62880)), ('pm1_cf', 33), ('pm25_cf', 59), ('pm10_cf', 59), ('pm1', 27), ('pm25', 45), ('pm10', 53)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,24,49, 832021)), ('pm1_cf', 30), ('pm25_cf', 61), ('pm10_cf', 68), ('pm1', 25), ('pm25', 45), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,25,50, 521785)), ('pm1_cf', 34), ('pm25_cf', 71), ('pm10_cf', 81), ('pm1', 28), ('pm25', 50), ('pm10', 65)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,26,51, 263731)), ('pm1_cf', 34), ('pm25_cf', 65), ('pm10_cf', 78), ('pm1', 28), ('pm25', 48), ('pm10', 63)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,27,52, 23191)), ('pm1_cf', 35), ('pm25_cf', 62), ('pm10_cf', 68), ('pm1', 28), ('pm25', 46), ('pm10', 58)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,28,52, 713601)), ('pm1_cf', 33), ('pm25_cf', 63), ('pm10_cf', 70), ('pm1', 27), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,29,53, 338102)), ('pm1_cf', 37), ('pm25_cf', 66), ('pm10_cf', 72), ('pm1', 29), ('pm25', 48), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,30,53, 893716)), ('pm1_cf', 36), ('pm25_cf', 64), ('pm10_cf', 74), ('pm1', 28), ('pm25', 47), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,31,55, 23933)), ('pm1_cf', 34), ('pm25_cf', 68), ('pm10_cf', 70), ('pm1', 27), ('pm25', 49), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,32,55, 649960)), ('pm1_cf', 32), ('pm25_cf', 65), ('pm10_cf', 70), ('pm1', 26), ('pm25', 47), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,33,56, 344355)), ('pm1_cf', 35), ('pm25_cf', 70), ('pm10_cf', 76), ('pm1', 28), ('pm25', 50), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,34,57, 188259)), ('pm1_cf', 33), ('pm25_cf', 69), ('pm10_cf', 78), ('pm1', 27), ('pm25', 49), ('pm10', 63)])
